CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R227A,23 ST,11:30:22,13886093.0,8003041.0,16.0,7.0,23.0
R227A,23 ST,11:34:36,13886109.0,8003048.0,410.0,344.0,754.0
N508,23 ST,11:43:19,3080947146.0,3238290575.0,6.0,49.0,55.0
N508,23 ST,11:44:39,1253849641.0,1307879576.0,108.0,134.0,242.0
N076,23 ST,12:00:00,32749882.29142857,17553759.50285714,2971.634285714286,1474.6171428571429,4446.251428571429
R227,23 ST,12:00:00,39526320.862068966,20847366.103448275,2681.0344827586205,993.2758620689655,3674.310344827586
N508,23 ST,12:00:00,1267345006.1436782,1322394284.2528737,2086.4655172413795,2557.7183908045977,4644.183908045977
R227A,23 ST,12:00:00,15621565.103448275,9043081.827586208,1429.6206896551723,818.1034482758621,2247.7241379310344
N077,23 ST,12:00:00,14186097.474285714,26626253.0,1301.8514285714286,1711.1257142857144,3012.977142857143
R226A,23 ST,12:00:00,36539734.10344828,21296810.931034483,551.4827586206897,627.6896551724138,1179.1724137931035
R131,23 ST,12:00:00,21115374.333333332,8337535.633333334,2452.9,837.9333333333333,3290.8333333333335
A030,23 ST,12:00:00,130574585.51724137,20396854.41954023,3483.942528735632,1391.0172413793102,4874.959770114942
N075,23 ST,12:00:00,156560717.28735632,94738242.77586207,1011.4885057471264,229.98275862068965,1241.471264367816
A031,23 ST,12:00:00,20913701.62857143,17028552.057142857,2119.3942857142856,1354.3771428571429,3473.7714285714287
R132,23 ST,12:00:00,20995040.066666666,41378894.3,986.7,1641.8666666666666,2628.5666666666666
R226,23 ST,12:00:00,2066942822.862069,1732322021.9655173,2198.9655172413795,2409.689655172414,4608.6551724137935
N509,23 ST,12:00:00,24119154.097142857,17135183.097142857,3405.44,2103.1085714285714,5508.548571428571
R131,23 ST,12:04:44,18199979.0,7265580.0,415.0,243.0,658.0
N508,23 ST,12:07:21,1253679933.0,1307692306.0,153.0,180.0,333.0
N509,23 ST,12:11:01,24575869.0,17066884.0,2461.0,1332.0,3793.0
N508,23 ST,12:29:59,1253680086.0,1307692486.0,1786.0,2244.0,4030.0
R131,23 ST,12:40:41,17894138.0,7151369.0,129.0,55.0,184.0
N508,23 ST,12:58:13,1253871942.0,1307906362.0,1793.0,1983.0,3776.0
R227,23 ST,12:58:33,37082616.0,19899798.0,17.0,0.0,17.0
R226A,23 ST,13:00:00,36598152.12,21383952.811428573,605.1714285714286,660.7542857142857,1265.9257142857143
R227,23 ST,13:00:00,39902845.666666664,21003119.856321838,2975.137931034483,901.7068965517242,3876.844827586207
R131,23 ST,13:00:00,19962490.252873562,7957407.362068965,3004.7241379310344,940.7701149425287,3945.4942528735633
R132,23 ST,13:00:00,21177120.609195404,41729501.03448276,1128.5172413793102,1803.5459770114942,2932.0632183908046
R227A,23 ST,13:00:00,15827856.845714286,9176967.297142858,1740.2514285714285,842.3371428571429,2582.5885714285714
R226,23 ST,13:00:00,2074335314.4571428,1731791051.102857,2343.6285714285714,2209.4514285714286,4553.08
R226,23 ST,13:01:09,2061874532.0,1729984309.0,2484.0,2278.0,4762.0
N076,23 ST,14:06:40,28373058.0,15202853.0,1742.0,745.0,2487.0
A030,23 ST,14:30:31,125865312.0,18333179.0,1622.0,560.0,2182.0
R227,23 ST,14:39:20,36902406.0,19825187.0,1624.0,321.0,1945.0
R131,23 ST,14:44:46,18575146.0,7411218.0,2115.0,597.0,2712.0
N508,23 ST,15:00:00,1233904767.9333334,1293348620.8333333,5201.8,3496.4333333333334,8698.233333333334
A031,23 ST,15:00:00,20505926.666666668,16717347.033333333,4478.733333333334,1650.6,6129.333333333333
A030,23 ST,15:00:00,129910986.93333334,20114182.533333335,7046.833333333333,1503.5333333333333,8550.366666666667
N077,23 ST,15:00:00,13935167.266666668,26521730.466666665,2196.7,2421.633333333333,4618.333333333333
N075,23 ST,15:00:00,154904323.86666667,1130203.1333333333,2407.1,224.1,2631.2
N076,23 ST,15:00:00,32091071.0,17190795.433333334,4923.0,1862.4666666666667,6785.466666666666
N509,23 ST,15:00:00,23541664.666666668,16778210.566666666,6553.266666666666,2204.9,8758.166666666666
N076,23 ST,15:05:58,28214198.0,15114705.0,987.0,423.0,1410.0
N077,23 ST,16:00:00,14175074.103448275,26535053.591954023,2201.132183908046,2499.155172413793,4700.287356321839
N075,23 ST,16:00:00,156272006.96,63142289.25714286,2206.0057142857145,205.4857142857143,2411.4914285714285
R227A,23 ST,16:00:00,15622994.72413793,9043899.931034483,2472.6206896551726,1076.9655172413793,3549.5862068965516
N076,23 ST,16:00:00,32794630.091954023,17574864.770114943,4898.16091954023,1880.8908045977012,6779.051724137931
N508,23 ST,16:00:00,1260100655.7542858,1314843276.2457142,5726.2,3512.2228571428573,9238.422857142858
A030,23 ST,16:00:00,130640237.97714286,20428983.348571427,7196.188571428572,1425.0457142857142,8621.234285714285
N509,23 ST,16:00:00,24266047.735632185,17241412.683908045,6756.522988505747,2066.8275862068967,8823.350574712644
A031,23 ST,16:00:00,20934368.85714286,17035444.74857143,4729.971428571429,1592.8742857142856,6322.845714285714
R131,23 ST,16:00:00,21117827.233333334,8338373.566666666,4126.833333333333,1149.8333333333333,5276.666666666667
R132,23 ST,16:00:00,20996026.766666666,41380536.166666664,1614.1,2156.266666666667,3770.366666666667
R226,23 ST,16:00:00,2062967683.3793104,1732322163.8965516,3799.6206896551726,2464.7241379310344,6264.3448275862065
R227,23 ST,16:00:00,39529093.27586207,20848359.379310343,4430.758620689655,1054.448275862069,5485.206896551724
R226A,23 ST,16:00:00,36540270.75862069,21297438.620689657,787.5862068965517,824.7931034482758,1612.3793103448277
N076,23 ST,16:48:25,27951714.0,14966498.0,391.0,234.0,625.0
R227A,23 ST,17:00:00,15787782.148571428,9150529.988571428,2042.2628571428572,968.0857142857143,3010.3485714285716
R227,23 ST,17:00:00,39927637.56,21018764.308571428,3762.0057142857145,847.0,4609.005714285714
R226,23 ST,17:00:00,2069323780.36,1732770195.617143,3203.6057142857144,1972.1714285714286,5175.777142857143
R131,23 ST,17:00:00,19870531.281609196,7920084.206896552,3952.2471264367814,1061.7586206896551,5014.005747126437
R132,23 ST,17:00:00,21214747.477011494,41797211.609195404,1568.844827586207,1984.2413793103449,3553.0862068965516
R226A,23 ST,17:00:00,36401412.77714286,21274104.65714286,646.5085714285714,752.7885714285715,1399.297142857143
N076,23 ST,17:08:44,27952105.0,14966732.0,196.0,26.0,222.0
N076,23 ST,17:16:39,19394120.0,10201055.0,15.0,0.0,15.0
N076,23 ST,17:17:58,27952316.0,14966758.0,2260.0,903.0,3163.0
N509,23 ST,19:00:00,23548217.933333334,16780415.466666665,3016.0666666666666,828.2333333333333,3844.3
N076,23 ST,19:00:00,32096089.4,17192696.666666668,2681.9,924.5,3606.4
N077,23 ST,19:00:00,13937363.966666667,26524152.1,1256.8333333333333,1055.1333333333334,2311.9666666666667
N508,23 ST,19:00:00,1256357681.2666667,1310741521.4666667,3072.9666666666667,1305.0666666666666,4378.033333333334
A030,23 ST,19:00:00,129918033.76666667,20115686.066666666,3710.233333333333,470.93333333333334,4181.166666666667
N075,23 ST,19:00:00,154906730.93333334,1130427.2333333334,1042.5333333333333,144.53333333333333,1187.0666666666666
A031,23 ST,19:00:00,20399096.466666665,16590694.2,2410.9333333333334,510.6333333333333,2921.5666666666666
R227,23 ST,20:00:00,39427043.916666664,20807553.208333332,1946.5833333333333,231.75,2178.3333333333335
N075,23 ST,20:00:00,156246173.32142857,20409135.257142857,692.0714285714286,102.77857142857142,794.85
R226A,23 ST,20:00:00,36520108.5,21268137.125,244.875,181.125,426.0
N076,23 ST,20:00:00,32767926.635714285,17559826.87857143,2169.907142857143,618.9142857142857,2788.8214285714284
N077,23 ST,20:00:00,14167062.1,26574807.257142857,1006.9642857142857,726.1714285714286,1733.1357142857144
N508,23 ST,20:00:00,1269986281.9928057,1325182184.8489208,2089.4460431654675,752.4172661870504,2841.863309352518
N509,23 ST,20:00:00,24261944.09352518,17237230.136690646,2125.8417266187053,554.8920863309353,2680.73381294964
A031,23 ST,20:00:00,20953242.85714286,17055453.95,1727.8857142857144,341.12857142857143,2069.0142857142855
R131,23 ST,20:00:00,21116581.916666668,8337574.541666667,1868.1666666666667,304.0833333333333,2172.25
R227A,23 ST,20:00:00,15559499.041666666,9005391.791666666,716.7916666666666,244.58333333333334,961.375
R226,23 ST,20:00:00,2062949619.2916667,1732537627.25,1514.875,460.25,1975.125
A030,23 ST,20:00:00,130686455.29285714,20449313.564285714,2711.714285714286,314.3642857142857,3026.0785714285716
R132,23 ST,20:00:00,20995421.125,41378634.708333336,559.625,650.7083333333334,1210.3333333333333
R131,23 ST,21:00:00,19927243.35,7945159.642857143,1304.442857142857,197.2,1501.642857142857
R132,23 ST,21:00:00,21107015.316546764,41577200.17266187,370.66187050359713,486.9136690647482,857.5755395683453
R226A,23 ST,21:00:00,36359657.2,21254064.685714286,136.95714285714286,123.68571428571428,260.64285714285717
R227,23 ST,21:00:00,39926029.70714286,21017463.564285714,1086.5,164.90714285714284,1251.4071428571428
R226,23 ST,21:00:00,2064859654.8285713,1732760713.9214287,761.0,296.0357142857143,1057.0357142857142
R227A,23 ST,21:00:00,15836042.135714285,9169971.435714286,486.8285714285714,164.8,651.6285714285714
N075,23 ST,23:00:00,141144329.8181818,62986262.81818182,153.5909090909091,30.636363636363637,184.22727272727272
